EF_eV,n_band_cm2_supplied,n_fermi_cm2,correction_factor
0.03,186194882467,149470059334,1.24570019773
0.05,310146816765,198739032302,1.56057324609
0.07,481918889079,248008004184,1.94315861162
0.09,705101574734,297276974992,2.3718674302
0.11,981557299465,346545944742,2.83240163204
0.13,1.31219604906e+12,395814913445,3.31517586753
0.15,1.69744924518e+12,445083881115,3.8137738013
0.17,2.13751847488e+12,494352847766,4.32387207748
0.19,2.63249729017e+12,543621813410,4.84251592786
0.21,3.18242896829e+12,592890778062,5.36764794807
0.23,3.78733349981e+12,642159741733,5.89780587863
0.25,4.44722011244e+12,691428704438,6.43192867738
